,Tiempo (min),LWC (g/m3),Cn(P/cm3),0.104,0.111,0.12,0.129,0.138,0.149,0.16,0.172,0.184,0.198,0.213,0.229,0.246,0.264,0.284,0.305,0.328,0.352,0.379,0.407,0.437,0.47,0.505,0.543,0.583,0.627,0.674,0.724,0.778,0.836,0.898,0.965,1.037,1.115,1.198,1.287,1.383,1.486,1.597,1.717,1.845,1.982,2.13,2.289,2.46,2.643,2.841,3.053,3.28,3.525,3.788,4.071,4.374,4.701,5.051,5.428,5.833,6.268,6.736,7.239,7.779,8.359,8.983,9.653,10.373,11.147,11.979,12.872,13.833,14.865,15.974,17.165,18.446,Visibilidad (m),Visibilidad corregida (m)
0,1.0,0.015844,145.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,1.183,1.537,1.48,1.681,2.109,2.422,1.877,1.979,2.047,1.371,1.55,1.651,1.26,1.398,1.312,0.894,1.043,1.135,0.872,0.784,1.011,0.838,0.975,1.375,1.624,1.413,1.756,1.264,2.165,2.915,3.429,4.306,4.718,6.337,6.642,8.788,9.671,10.653,10.138,10.407,9.97,8.414,4.406,1.291,0.355,0.038,0.04,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0
1,2.0,0.010705,142.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292,1.6391,2.2062,2.5596,2.6028,2.9049,3.7553,3.1425,2.9643,3.0093,2.381,3.1706,3.1401,2.9019,2.8191,3.1451,2.5862,2.4089,1.9543,2.1674,1.9958,1.7835,1.8322,1.7499,1.3889,1.734,1.4066,1.9221,2.4102,2.8577,3.1834,3.0798,3.8645,3.6132,4.3455,5.5076,6.1572,6.6493,6.6815,6.1895,6.5073,6.084,4.8391,3.5135,1.2111,0.1526,0.0382,0.0396,0.0199,0.0213,0.0,0.0,0.0,0.0,38.0,39.0
2,3.0,0.006484,92.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4379,1.1703,1.2332,1.0935,1.4463,1.3757,1.7718,1.0669,1.2471,1.0458,0.8729,1.3468,1.1412,1.2108,1.2074,0.966,0.7468,1.3282,1.0982,1.2018,0.6108,0.8852,0.9483,0.8574,0.9177,0.8705,1.338,1.8092,2.9987,2.3492,2.8012,4.243,3.7125,4.8593,4.9475,4.5122,5.6776,4.5541,5.3161,4.6286,3.1815,3.4827,2.3333,1.0213,0.4401,0.0807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,39.0
3,4.0,0.018455,161.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,1.104,1.695,2.622,2.54,2.816,2.689,2.953,1.913,1.57,2.056,1.974,1.431,1.448,1.36,1.285,1.336,1.373,1.373,1.103,0.903,1.168,1.029,1.336,1.356,1.458,1.636,2.01,2.531,2.758,3.263,3.114,4.66,5.409,5.974,7.789,8.502,9.632,10.147,11.26,10.994,9.475,9.63,6.395,2.713,0.648,0.343,0.089,0.02,0.099,0.0,0.0,0.0,0.0,39.0,39.0
4,5.0,0.009889,105.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491,1.6494,1.1173,1.8788,1.7549,1.7871,1.5386,1.7584,1.2318,1.2624,1.1202,1.6486,1.4048,0.8012,0.905,1.2111,0.8854,0.9755,0.9672,1.1514,0.9098,0.7938,0.7096,0.6661,0.8871,1.4318,1.287,1.4832,1.8459,1.7579,2.0919,2.0393,2.8843,4.2539,4.5765,5.9823,5.8632,6.9325,6.5156,6.9087,6.4921,5.2866,5.0286,2.2438,0.9402,0.2196,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,40.0
5,6.0,0.016108,156.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,1.324,1.376,1.874,2.197,2.326,2.778,2.528,1.798,1.864,1.774,2.173,1.731,1.232,1.017,1.429,1.137,0.817,1.102,0.96,0.94,1.057,1.041,1.251,1.038,1.11,1.68,2.329,2.389,2.317,2.774,4.377,4.888,5.733,7.418,8.116,9.244,9.87,10.528,11.043,12.076,10.677,7.426,3.623,1.095,0.187,0.081,0.0,0.083,0.0,0.0,0.0,0.0,0.0,39.0,41.0
6,7.0,0.01176,148.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.786,2.123,2.658,2.689,2.046,2.917,3.279,2.262,2.108,2.007,2.134,1.979,1.883,2.41,1.966,2.059,1.713,1.865,1.244,1.025,1.254,1.253,1.084,1.135,1.338,1.794,1.955,2.356,3.166,3.402,3.854,4.509,5.194,5.993,7.537,8.413,9.741,10.202,9.858,9.592,6.462,3.368,1.604,0.444,0.142,0.087,0.0,0.0,0.043,0.0,0.0,0.0,0.0,40.0,41.0
7,8.0,0.007168,102.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6021,1.6671,1.589,1.6606,1.7292,2.1765,1.522,1.7019,1.2824,1.2477,1.6967,1.8963,1.9297,1.9999,2.3712,1.3123,1.4257,1.2206,0.7819,0.96,1.3149,1.1499,0.7385,1.2705,1.168,1.1668,0.9722,1.4973,2.198,2.2952,2.3607,3.632,3.1074,3.6899,4.6711,4.8114,6.2196,6.3938,5.1339,5.9785,4.3286,3.9003,2.1093,1.2614,0.2944,0.0461,0.0178,0.028,0.0208,0.0247,0.0,0.0,0.0,0.0,41.0,41.0
8,9.0,0.01237,138.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,1.1671,1.7244,1.8982,1.8665,1.8676,1.4588,1.4477,1.5517,1.9381,1.4247,1.8819,1.7219,1.8389,1.1233,1.4923,1.5594,1.3994,1.29,0.8734,0.7825,1.1901,1.1567,0.9729,1.2305,1.3592,1.7713,2.0418,2.324,2.8,3.9664,4.136,4.9895,5.6054,5.2208,7.84,8.6872,9.1257,9.5603,9.343,9.3491,7.0351,5.2285,1.7536,0.5434,0.1703,0.0824,0.0837,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0
