Tiempo (min),LWC (g/m3),Cn(P/cm3),0.104,0.111,0.12,0.129,0.138,0.149,0.16,0.172,0.184,0.198,0.213,0.229,0.246,0.264,0.284,0.305,0.328,0.352,0.379,0.407,0.437,0.47,0.505,0.543,0.583,0.627,0.674,0.724,0.778,0.836,0.898,0.965,1.037,1.115,1.198,1.287,1.383,1.486,1.597,1.717,1.845,1.982,2.13,2.289,2.46,2.643,2.841,3.053,3.28,3.525,3.788,4.071,4.374,4.701,5.051,5.428,5.833,6.268,6.736,7.239,7.779,8.359,8.983,9.653,10.373,11.147,11.979,12.872,13.833,14.865,15.974,17.165,18.446,Visibilidad (m),Visibilidad corregida (m)
1,0.005394,167.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5983,1.6388,2.146,3.4138,3.0874,2.9955,4.4854,4.2142,4.3806,4.6175,4.4738,4.7072,4.8584,5.567,5.9726,5.2375,5.2834,5.5153,5.0197,4.0199,3.9097,3.1064,2.9132,2.7969,3.0267,3.4394,3.8467,3.4393,3.1136,4.2133,4.5413,4.2078,4.1729,4.6961,5.5632,5.1223,4.6032,4.1665,4.551,3.6115,2.7484,1.7192,1.1036,0.6271,0.2378,0.1006,0.0155,0.0244,0.0794,0,0,0,0,0,57,72
2,0.003363,121.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3894,1.4633,2.3432,2.431,2.9182,3.618,3.4757,2.642,3.3307,3.3872,3.1438,3.5371,3.227,3.5734,4.3305,3.4453,3.5402,2.5549,3.529,2.8598,2.9898,2.2298,1.7547,2.3542,3.2313,2.6433,3.1585,2.5998,3.2699,3.0906,2.9608,3.1544,3.0993,3.3816,3.8297,3.4833,3.1803,3.2786,2.3786,1.9079,1.1395,1.1182,0.3958,0.4024,0.1793,0.1413,0.0383,0.0336,0.0059,0,0,0,0,0,67,74
3,0.002257,186.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,1.4722,3.103,4.8591,5.6949,6.4534,6.9299,7.1195,7.3937,7.4689,7.6355,6.8119,8.1504,8.2989,8.5864,7.6319,7.3657,6.3782,6.5813,5.3769,4.6296,4.1931,3.92,3.4976,2.7793,3.0536,2.9907,3.5621,3.226,3.3027,3.0767,3.2529,3.1758,2.759,2.9936,2.2828,2.1332,2.1825,1.961,1.151,0.9063,0.9672,0.2727,0.1311,0.1514,0.0385,0.1225,0.0918,0.0578,0.0059,0,0,0,0,0,72,80
4,0.003514,127.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336,0.5818,1.3478,1.6692,1.8721,3.1093,3.0873,3.3286,2.9595,3.0731,2.7951,3.028,3.2126,3.4318,3.6623,3.3813,3.7883,3.7034,2.9384,2.9686,3.3049,3.0554,2.3149,2.2206,2.6856,2.7722,3.0368,3.1999,3.203,3.9788,4.2624,3.9736,3.857,4.351,5.0227,4.3886,3.6843,2.6976,3.4648,2.708,2.1071,1.1364,0.7228,0.484,0.1633,0.3246,0.0611,0,0,0,0.04,0,0,0,0,74,74
5,0.004453,202.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.6754,2.4099,3.5197,4.4623,4.7235,5.177,5.1067,5.0281,5.4285,6.7215,6.323,6.3059,7.0379,7.5978,7.434,7.287,6.8427,7.349,6.7091,5.6006,5.0543,3.6682,4.2373,4.0881,4.5874,4.704,4.7691,4.3166,5.661,4.6338,3.6428,3.8673,5.228,4.5619,4.5569,4.7652,5.3241,3.4141,3.4931,2.2053,1.1625,0.8993,0.4272,0.2824,0.1317,0.2209,0.2175,0.025,0.0185,0.022,0,0,0.0163,0.0234,80,69
6,0.004675,179.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687,1.1206,2.02,2.4125,3.2291,3.2437,4.1524,4.3741,4.242,4.1426,4.4667,4.4035,3.7435,5.0179,4.5913,5.7913,5.5039,5.0097,5.0032,4.8989,4.3319,3.6084,3.9046,4.0402,3.3192,4.5962,4.4549,4.6102,4.459,4.3018,5.734,6.1507,5.9622,6.1092,5.8782,5.6041,5.8236,5.5676,5.3162,3.39,2.089,1.3499,0.8584,0.4243,0.167,0.0511,0.052,0.016,0.0682,0.0601,0.0358,0.0272,0,0,0,74,68
7,0.002323,107.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2718,1.4507,1.7962,2.6061,2.4871,3.5105,2.7425,2.9967,2.337,3.4478,3.3963,2.9765,3.2685,4.2854,3.8597,3.5552,3.2646,3.2896,3.1442,3.2383,2.4343,2.2519,1.8824,1.6921,2.2815,2.6753,2.6265,3.1219,2.5156,3.2553,3.5834,2.3394,2.63,2.6539,2.6325,2.3806,2.244,1.7832,1.4724,1.1537,0.5857,0.5463,0.3431,0.264,0.1008,0.083,0,0.0402,0,0.0132,0.0265,0,0,0,69,64
8,0.003813,51.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1803,0.5828,1.0725,0.799,1.1229,1.6052,1.0849,1.2882,0.9713,0.8885,0.6425,1.2039,0.6903,1.1555,0.9099,1.0724,0.8949,0.6183,1.4057,0.9755,0.6234,0.5417,0.639,0.8064,0.8598,0.8299,0.7757,0.655,1.216,1.7238,1.6189,2.0212,1.2173,2.2518,1.886,1.5396,2.5496,2.1779,1.781,1.1464,0.8633,0.6728,0.8567,0.7289,0.9462,0.2216,0.5236,0.2158,0.0147,0.1523,0.0968,0,0,0,68,55
9,0.003291,105.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3451,1.2855,1.3727,1.7458,2.1163,2.5201,1.901,2.4998,2.9072,2.4598,2.3111,2.7051,3.1743,2.467,3.2528,2.5397,2.8686,2.9143,2.8684,2.5645,2.2639,2.1209,2.1105,1.845,2.2217,2.8116,2.476,2.5178,3.4931,3.3889,3.5377,3.0957,3.6696,3.7881,3.902,3.5406,3.0588,2.7657,1.7013,1.0858,0.9756,0.847,0.3311,0.2548,0.219,0.0638,0.1076,0.2291,0.0359,0.0234,0.0195,0.0196,0,0,64,51
10,0.007733,46.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1459,0.6593,0.878,0.8039,1.3569,1.1461,1.0429,0.917,0.5358,0.6803,0.6879,0.7798,0.9132,0.7436,1.1376,0.415,1.0049,0.6813,1.0659,0.7941,0.7903,0.7282,0.6283,0.7454,0.757,0.4358,0.5769,0.5818,0.6379,1.2048,0.9184,1.1707,1.0721,1.2646,1,0.975,1.4885,1.2569,1.7199,2.0396,1.3728,0.8482,1.1852,1.1945,0.977,1.0809,1.0928,0.7306,0.4681,0.7275,0.493,0.1234,0.0405,0,55,41
11,0.003793,24.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873,0.091,0.4325,0.3517,0.7359,0.3205,0.3027,0.2674,0.4632,0.2806,0.1115,0.0871,0.1423,0.1311,0.2625,0.0298,0.1739,0.0434,0.2606,0.2211,0.0644,0.1305,0.2251,0.0653,0.1851,0.2469,0.3139,0.615,0.4411,0.4497,0.1998,0.6954,0.6528,0.9067,1.1122,1.153,1.1177,1.3314,1.4973,1.2787,1.6839,1.1622,0.9542,0.654,0.6621,0.4812,0.2644,0.4532,0.4466,0.2498,0.1915,0.1365,0,0,0,51,33
12,0.005541,30.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2564,0.5804,0.6069,0.6404,0.5881,0.513,0.6919,0.6093,0.4154,0.4038,0.2827,0.1911,0.4025,0.2011,0.2697,0.2498,0.1098,0.44,0.1483,0.3635,0.3047,0.0908,0.1538,0.161,0.2617,0.2931,0.245,0.2934,0.5414,0.662,0.6468,0.7011,1.1145,0.8812,0.994,1.3236,1.2241,1.555,1.5646,1.3527,1.2908,0.9969,1.1985,0.9084,0.9028,0.712,0.393,0.4586,0.336,0.245,0.2175,0.1327,0.1385,0.023,41,30
13,0.011641,48.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4841,0.943,0.6673,0.9683,0.9093,0.81,0.9676,0.6269,0.5361,0.8552,0.5314,0.6429,0.8768,0.3487,0.5016,0.3825,0.5588,0.5181,0.315,0.4313,0.3341,0.34,0.24,0.5255,0.4425,0.3849,0.4916,0.5676,1.1095,0.9988,0.7818,1.1312,1.3405,1.6033,1.4345,1.8538,1.5066,2.1665,2.0585,2.0366,1.5706,1.1084,1.6965,1.5768,1.431,1.0167,1.3625,1.2508,0.857,0.7327,0.6673,0.5583,0.2703,0.0466,33,29
14,0.004024,59.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0.2715,0.6857,0.9748,0.9519,0.9165,0.8883,0.9632,0.561,0.6328,0.3801,0.5775,0.6853,0.666,0.8367,0.8439,0.7987,0.7358,0.6872,0.8011,0.8637,0.4671,0.6396,0.6157,1.0892,0.9885,1.4181,1.2924,1.3694,1.8114,2.5019,2.6345,2.821,2.7306,2.633,2.6255,3.5265,3.6929,3.4671,2.5577,1.964,1.0441,0.6611,0.5081,0.3249,0.3997,0.3651,0.1791,0.2912,0.0458,0.0396,0.1181,0.0341,0.005,0,30,27
15,0.001518,214.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,2.161,6.041,10.512,10.516,13.537,14.169,14.831,13.132,13.55,13.512,12.144,11.368,10.379,9.098,7.645,6.903,4.592,4.264,3.623,3.016,2.295,2.074,1.331,1.266,1.132,1.297,1.119,1.354,1.228,2.085,1.795,1.369,1.268,1.337,1.376,1.639,1.381,0.789,1.584,0.598,0.389,0.214,0.123,0.1,0.204,0.011,0.092,0.024,0,0.013,0.026,0,0,0,29,51
16,0.002862,261.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,1.439,4.491,6.106,6.084,8.37,9.769,8.477,8.167,8.12,8.033,8.442,8.8,9.293,10.09,10.614,9.897,9.452,9.028,8.522,7.4,6.564,5.378,5.357,5.404,6.736,6.209,5.439,6.131,6.997,6.875,7.03,6.278,5.256,5.026,4.148,3.838,2.495,2.222,1.28,0.881,0.285,0.222,0.066,0.1,0.04,0.12,0,0,0,0,0,0,0,0,27,80
17,0.000362,231.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,4.743,12.367,17.066,19.372,23.712,23.005,22.677,19.682,15.196,13.601,12.436,9.245,7.008,5.844,4.297,2.727,2.265,1.56,1.749,1.273,0.596,0.863,0.382,0.543,0.986,0.691,0.778,0.706,0.887,0.743,1.094,0.587,0.507,0.862,0.459,0.441,0.305,0.374,0.04,0.08,0,0,0.01,0.029,0,0,0,0,0,0,0,0,0,0,51,1337
18,0.000147,257.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,4.78,13.684,16.847,20.351,23.734,25.9,25.196,22.704,20.026,16.849,13.268,12.974,9.524,8.6,6.574,4.356,3.523,2.58,1.71,0.825,0.718,0.398,0.221,0.179,0.207,0.223,0.185,0.154,0.145,0.228,0.177,0.192,0.185,0.059,0.086,0.167,0.041,0.041,0.029,0.054,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,80,1961
19,0.016523,271.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,1.655,3.756,4.404,5.825,7.736,9.219,10.179,9.382,8.504,9.037,9.013,8.353,9.039,8.858,9.087,9.738,9.071,7.914,7.056,5.867,5.147,5.048,4.312,3.601,4.426,4.071,3.266,4.118,4.426,3.552,3.784,3.456,4.235,4.45,5.053,6.009,5.465,6.661,6.314,5.927,5.164,4.014,4.466,2.985,2.218,1.56,0.881,0.982,0.599,0.385,0.478,0.375,0.312,0.102,1337,1961
20,0.009542,88.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4831,0.8702,1.1577,1.1492,1.5535,1.5714,1.4925,2.0262,1.3389,1.1212,1.351,1.4731,1.2237,1.5086,1.4728,1.3107,1.4198,1.1875,0.8775,0.9527,1.0852,1.1028,1.3167,1.1208,1.4456,1.1658,1.4431,2.0496,1.4581,1.558,1.7856,1.9453,2.898,3.3519,3.8688,3.8045,4.2468,4.2309,4.3239,3.9852,2.7714,2.4846,2.3172,1.9881,1.5399,0.8586,0.5363,0.6258,0.4642,0.3503,0.2097,0.0958,0.0855,0,1961,1961
21,0.004379,47.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2642,0.7557,0.6381,0.9571,0.9494,0.9881,1.0922,0.9081,0.7243,0.443,0.5807,0.5431,0.5878,0.5791,0.6078,0.4792,0.1883,0.3236,0.4341,0.6958,0.3244,0.184,0.3249,0.3961,0.5089,0.5899,0.8311,1.0072,1.0222,1.0768,1.649,1.8464,2.0133,1.7849,1.7831,2.3883,2.7372,2.1924,2.6653,2.2603,2.0971,1.5591,0.8764,0.5841,0.5205,0.3716,0.2906,0.168,0.1562,0.1144,0.0661,0.0395,0,0,1961,1961
22,0.022051,84.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.8679,1.5812,1.5332,1.3005,1.5171,1.7901,1.2165,1.3682,1.0187,0.7979,0.8078,1.3523,0.9168,0.773,0.8562,0.84,1.295,1.0648,0.7016,0.674,0.6485,0.5166,0.741,0.8283,0.9355,0.964,1.0785,1.1757,1.2616,1.5998,2.0848,1.937,2.7707,2.732,3.519,3.5217,3.9517,2.8828,2.736,2.578,2.3716,2.7626,2.5795,2.0137,2.2949,2.0055,1.6725,2.3495,1.7766,1.8036,1.1067,0.3475,0.0394,1961,839
23,0.005918,42.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3099,0.7832,0.7248,1.1613,0.7189,1.3075,1.1907,1.184,0.7168,0.7526,0.9165,0.595,0.7316,0.5647,0.653,0.8262,0.5598,0.4427,0.4589,0.3696,0.4028,0.472,0.4601,0.2761,0.4161,0.6174,0.9468,0.6198,1.1195,1.4861,1.185,1.0039,0.8098,1.3408,1.91,2.1798,1.8301,1.3364,1.1738,1.0662,0.8676,1.1938,0.572,0.5778,0.7787,0.6528,0.4305,0.3217,0.3256,0.6053,0.4145,0.2168,0.0617,0.0236,1961,110
24,0.271404,348.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732,1.849,3.002,2.391,2.009,2.892,2.74,2.825,1.955,1.964,1.682,1.207,0.841,1.291,0.985,0.735,0.907,0.621,0.725,0.822,0.769,0.589,0.522,0.357,0.427,0.624,0.738,0.861,1.084,1.316,1.629,1.416,1.599,2.208,3.047,3.902,3.649,6.154,7.134,9.452,10.392,12.151,15.719,19.451,20.81,22.503,24.72,26.795,29.08,32.67,30.308,17.914,5.959,0.352,839,24
25,0.044711,146.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4829,1.3487,1.8923,1.9462,2.4803,1.9493,2.9025,1.9754,1.6742,2.2055,1.5922,2.2552,2.123,2.16,1.916,2.2072,1.9863,2.4616,2.335,2.067,1.5352,1.5097,1.3501,1.6629,1.8152,1.8401,2.3335,2.7599,3.0099,2.5995,3.3117,4.0666,4.2561,4.1081,3.9908,4.2233,4.379,3.4253,3.6084,2.8486,2.6742,3.3859,4.0082,3.6503,4.4714,4.5109,4.2108,4.0976,4.3714,5.4392,4.216,2.1071,0.7426,0.0697,110,23
26,0.005368,66.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3074,0.8441,0.6402,0.8934,0.9033,1.0008,0.6997,0.9514,0.6358,0.916,1.041,1.054,0.926,1.1908,1.0894,1.178,0.7451,1.1256,1.0788,0.9955,0.9865,1.035,0.8858,1.0554,1.4684,1.3212,1.3579,1.3482,1.4121,1.9122,1.8483,2.3608,2.3342,3.293,2.4504,3.2352,3.0633,3.3044,3.4193,3.035,2.2731,1.0778,0.73,0.7751,0.6216,0.3009,0.1762,0.1817,0.2424,0.2091,0.0402,0.0748,0.0613,0.0234,24,24
27,0.001868,93.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5039,2.1425,2.9546,3.3172,3.3419,3.909,4.1483,3.0742,2.9279,3.9546,3.6355,3.9582,4.2474,4.12,4.2101,3.9024,3.5296,3.9888,2.9631,2.0285,1.9915,1.8021,1.7079,1.4954,1.4734,1.1514,1.4413,1.209,1.1798,0.9776,1.1,0.8619,0.8837,1.1384,0.9828,1.4352,0.6927,1.0966,1.0528,0.7111,0.7241,0.2232,0.1429,0.0798,0.0886,0.0907,0.1563,0.0667,0.0509,0.013,0.0453,0.058,0.077,0,23,27
28,0.001165,102.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4217,1.6157,1.889,3.0464,3.7816,3.5424,3.5461,3.6499,3.9157,4.8074,3.501,4.7913,4.7002,5.3789,5.0183,4.1094,4.2725,3.7129,3.2442,3.3519,2.8938,2.5099,2.4266,1.919,2.1437,2.259,1.8454,1.6894,1.4039,1.7069,1.6183,1.4263,1.1339,0.9554,0.6319,0.5988,0.739,0.3914,0.6251,0.3265,0.2453,0.3417,0.1494,0.1222,0.118,0.0217,0.1091,0.0884,0.0396,0,0,0,0,0,24,31
29,0.007043,111.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5307,1.343,2.1232,2.3281,2.5613,2.9219,2.3799,2.4443,2.912,2.7648,3.3383,3.1248,3.4745,4.0422,3.2954,3.2539,2.922,3.0821,2.6061,2.8547,2.367,1.7404,1.8883,1.8145,2.1418,2.3716,2.8082,2.8528,3.0867,2.4941,2.9777,2.5276,2.8773,3.0667,3.0837,3.0287,3.1478,2.876,1.7666,0.9295,0.9986,0.6217,0.7795,0.9242,0.6429,0.5118,0.8514,0.6028,0.7155,0.4432,0.4138,0.0799,0.0405,0.0012,27,32
30,0.001972,30.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433,0.0939,0.9135,0.7253,1.185,0.6657,1.0798,0.9299,0.8737,0.9657,0.9659,0.7887,0.5952,0.3457,0.562,0.5364,0.4521,0.4184,0.5412,0.307,0.4042,0.3999,0.2853,0.4269,0.2937,0.4072,0.6086,0.5393,0.408,0.7104,0.4158,0.8386,0.7636,0.9678,1.065,1.2901,0.8631,0.9968,0.8232,1.0404,0.9007,0.9111,0.3922,0.3886,0.1464,0.258,0.3863,0.0954,0.1011,0.0844,0.1258,0,0,0,0,31,32
31,0.005396,38.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2699,0.7906,0.7628,0.6557,0.4972,0.5173,0.735,0.776,0.6403,0.663,0.593,0.6768,0.5248,0.1426,0.4187,0.4747,0.3631,0.4152,0.1709,0.3306,0.2267,0.3479,0.251,0.4212,0.2686,0.5392,0.45,0.6606,0.446,0.7017,0.8607,0.9863,0.7802,1.5203,1.5733,1.9334,1.8002,1.7388,2.1781,2.4378,1.6425,1.2203,1.1053,1.0844,0.7264,0.6995,0.5175,0.5395,0.3067,0.2679,0.1417,0.0202,0,0,32,31
32,0.002526,16.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329,0.2165,0.0416,0.1883,0.1539,0.2871,0.1601,0.0831,0.2186,0.1534,0.1458,0.1198,0.0791,0.0653,0.1308,0.0829,0.1243,0.1211,0.2143,0.229,0.2041,0.1001,0,0.1298,0.1235,0.274,0.1985,0.2645,0.4295,0.3258,0.3675,0.3996,0.5018,0.6775,0.7777,0.7003,0.7381,0.7715,1.5334,0.9204,0.6736,0.4595,0.6014,0.5067,0.51,0.1764,0.3824,0.2793,0.1137,0.3294,0.0639,0.0584,0.0583,0,0,32,27
