Tiempo (min),LWC (g/m3),Cn(P/cm3),0.104,0.111,0.12,0.129,0.138,0.149,0.16,0.172,0.184,0.198,0.213,0.229,0.246,0.264,0.284,0.305,0.328,0.352,0.379,0.407,0.437,0.47,0.505,0.543,0.583,0.627,0.674,0.724,0.778,0.836,0.898,0.965,1.037,1.115,1.198,1.287,1.383,1.486,1.597,1.717,1.845,1.982,2.13,2.289,2.46,2.643,2.841,3.053,3.28,3.525,3.788,4.071,4.374,4.701,5.051,5.428,5.833,6.268,6.736,7.239,7.779,8.359,8.983,9.653,10.373,11.147,11.979,12.872,13.833,14.865,15.974,17.165,18.446,Visibilidad (m),Visibilidad corregida (m)
1,0.007685,26.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428,0.0855,0.2138,0.1283,0.3972,0.2868,0.2992,0.1081,0.126,0.1503,0.0854,0.227,0.2872,0.0988,0.0718,0.1298,0.0964,0.1998,0.1124,0.0578,0.0125,0.0943,0.0632,0.0726,0.1292,0.1433,0.1376,0.2434,0.1861,0.1693,0.2819,0.3371,0.2701,0.4347,0.3829,0.5583,0.8864,1.0246,0.7645,1.2096,1.8238,2.471,2.1498,2.5766,2.8918,2.1501,1.1343,0.5805,0.2227,0,0,0.0798,0.0397,0,20,40
2,0.003792,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.084,0.1594,0.3442,0.3776,0.042,0.1678,0.2208,0.2606,0.1674,0.2048,0.1749,0.0613,0.2512,0.0712,0.0962,0.0547,0.1212,0.2688,0.0809,0.0593,0.0631,0.068,0.0356,0.0315,0.0691,0.1817,0.0917,0.1471,0.2589,0.3889,0.2462,0.3923,0.5912,0.4477,0.5507,0.5951,0.8895,0.8194,1.3334,1.2849,1.0869,1.3802,1.2689,1.2897,0.7808,0.4176,0.2911,0.1035,0.0215,0,0,0,0,40,40
3,0.003593,14.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417,0.0417,0.103,0.2723,0.0417,0.1119,0.0659,0.0306,0,0.0417,0.0416,0.0533,0.0299,0,0,0,0,0.0415,0,0.0659,0.0899,0.0575,0.0531,0.055,0.01,0.0493,0.1688,0.3265,0.1676,0.2566,0.1863,0.1959,0.2923,0.4302,0.4127,0.8666,0.7408,0.7187,0.881,0.9291,1.3686,1.1522,1.0646,1.1164,1.0354,0.5926,0.1959,0.0635,0.0214,0,0,0,0,40,40
4,0.002123,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224206,0.117062,0.154131,0.0944967,0.204018,0.101082,0.0239451,0.0913502,0.145106,0.0561043,0.108725,0.18796,0.0591792,0.0411666,0.0411468,0.164518,0.0822296,0.123277,0,0.024145,0.0889427,0.185814,0.0701173,0.0930495,0.0297412,0.0488273,0.126249,0.0699395,0,0.115549,0.25062,0.0652604,0.137615,0.286629,0.16148,0.336224,0.493676,0.523972,0.615534,0.828774,0.913153,0.800187,0.856795,0.58771,0.283308,0.339415,0.0833103,0.0449281,0.0389233,0,0,0,0,40,40
5,0.005536,22.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423,0.1268,0.241,0.3143,0.3317,0.24,0.1623,0.1464,0.3131,0.5342,0.3873,0.2113,0.2143,0.2121,0.3662,0.2481,0.1396,0.2055,0.2549,0.0774,0.127,0.047,0.0538,0.0557,0.052,0,0.0657,0.2172,0.2195,0.0402,0.4222,0.1965,0.1735,0.236,0.5655,0.4586,0.9164,1.2386,1.4018,1.654,2.11,1.685,2.0562,1.4802,0.8706,0.9838,0.6109,0.2545,0.0217,0,0,0,0,40,40
6,0.004899,16.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415,0.1009,0.1592,0.1232,0.0793,0.1441,0.0858,0.0655,0.0719,0.1658,0.0414,0.0525,0.0717,0.0414,0,0.1655,0.1241,0.0086,0.0966,0.1078,0.1708,0.0291,0.0472,0.0705,0.0783,0.0511,0,0.1349,0.0703,0.041,0.1438,0.1854,0.0389,0.1621,0.189,0.4251,0.4071,0.6174,0.6223,1.2244,1.1716,1.5049,1.5686,1.9074,1.7555,1.1998,1.0027,0.3395,0.0178,0,0.0194,0.0195,0,0,40,50
7,0.005194,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1248,0,0.0832,0.1663,0.0831,0.0831,0.0416,0.1246,0.0831,0.0197,0.0219,0.0415,0.0117,0.0298,0.0145,0.1098,0.067,0.0573,0.0867,0.1028,0.0709,0.0917,0.0733,0.1588,0.1493,0.0157,0.0846,0.1683,0.3255,0.2903,0.2491,0.2002,0.3673,0.3151,0.2185,0.2057,0.61,0.5347,1.4464,1.1861,1.5934,1.4982,1.4188,1.4727,1.6076,1.077,1.2426,0.3941,0.142,0.0605,0.039,0,0,0,50,50
8,0.00498,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793,0.1451,0.1265,0.0752,0.0426,0.0583,0.1546,0.063,0.0657,0.0444,0.1404,0.1162,0.085,0.255,0.0869,0.0798,0.1818,0.1224,0.1478,0.0428,0.1559,0.0371,0.0543,0.0882,0.2857,0.0726,0.1085,0.2191,0.1794,0.195,0.3535,0.2312,0.4138,0.6025,0.6097,0.7564,0.7157,0.986,0.9118,1.2356,1.6717,1.488,1.6199,1.4463,1.3804,0.9813,0.3983,0.1393,0,0,0,0,0,50,40
9,0.008687,32.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0.1824,0.1499,0.2518,0.4257,0.3234,0.3573,0.2473,0.3025,0.2689,0.2024,0.1067,0.1681,0.1138,0.1549,0.1001,0.1763,0.163,0.1663,0.1658,0.1383,0.1788,0.0463,0.2495,0.0792,0.2887,0.3029,0.3565,0.2158,0.5083,0.1574,0.1801,0.3496,0.469,0.6146,0.9046,1.1604,1.0748,1.6674,1.5248,2.0632,2.9376,3.0057,2.6483,1.8395,2.7812,1.8062,0.7889,0.2568,0,0,0,0,0,40,40
10,0.00155,9.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169769,0.149878,0.189587,0.0848455,0.127248,0.0714308,0.0981748,0.211936,0,0.0423667,0.0537221,0.0309805,0,0.0994543,0.196674,0.0975905,0.198286,0,0.0244158,0.102184,0.0318884,0.0346004,0.162161,0.0240904,0.0958536,0.0973939,0.0229122,0.0359471,0.159102,0.360128,0.162411,0.266028,0.369261,0.240141,0.37326,0.563833,0.642826,0.470834,0.61975,0.541486,0.528378,0.631799,0.574201,0.271913,0.216211,0.134012,0.0992311,0.0645005,0.0217528,0,0,0,0,40,40
11,0.003134,15.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1785,0.0725,0.0418,0.0258,0.016,0.0418,0.0201,0.0635,0,0,0.0417,0,0.0834,0,0.0417,0.125,0.0644,0.0429,0.0958,0.1509,0.1153,0.1243,0.0713,0.0415,0,0.0887,0.0721,0.0987,0.2986,0.3164,0.3142,0.3543,0.6861,0.4704,1.1117,1.1106,1.2527,1.3019,1.8405,1.2592,1.1422,0.7156,0.5623,0.6074,0.335,0.1312,0.024,0.0214,0,0,0.0389,0,40,40
