Tiempo (min),LWC (g/m3),Cn(P/cm3),0.104,0.111,0.12,0.129,0.138,0.149,0.16,0.172,0.184,0.198,0.213,0.229,0.246,0.264,0.284,0.305,0.328,0.352,0.379,0.407,0.437,0.47,0.505,0.543,0.583,0.627,0.674,0.724,0.778,0.836,0.898,0.965,1.037,1.115,1.198,1.287,1.383,1.486,1.597,1.717,1.845,1.982,2.13,2.289,2.46,2.643,2.841,3.053,3.28,3.525,3.788,4.071,4.374,4.701,5.051,5.428,5.833,6.268,6.736,7.239,7.779,8.359,8.983,9.653,10.373,11.147,11.979,12.872,13.833,14.865,15.974,17.165,18.446,Visibilidad (m),Visibilidad corregida (m)
1,0.004693,212.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,1.029,3.335,5.395,5.523,5.934,4.045,3.832,3.577,2.861,2.801,2.223,2.728,2.553,3.067,2.847,3.456,3.939,4.16,4.61,5.409,5.21,4.979,4.903,4.48,5.458,6.217,6.285,7.579,8.659,8.271,9.554,9.422,11.86,12.157,11.384,10.086,6.888,3.582,1.789,0.583,0.081,0,0.04,0,0.03,0.01,0,0,0,0,0,0,0,0,NaN,50
2,0.003783,245.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,1.845,5.233,8.289,11.749,10.701,8.69,7.09,7.75,6.801,7.24,5.904,5.86,4.629,4.461,4.611,4.906,4.628,4.522,5.066,4.914,5.103,4.484,4.695,4.961,5.442,5.785,6.427,8.209,7.968,7.235,8.328,8.348,8.454,8.605,9.326,7.349,5.17,3.099,1.1,0.433,0.23,0.119,0.045,0,0,0,0,0,0,0,0,0,0,0,NaN,50
3,0.0056,248.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.192,5.059,8.423,9.755,9.531,8.083,6.427,6.164,5.471,5.161,4.461,4.429,3.302,2.895,3.082,3.726,3.184,3.882,3.457,3.774,3.624,3.626,4.096,3.501,4.925,6.456,6.17,6.545,8.404,8.806,10.931,10.699,11.447,14.256,14.013,12.274,8.658,4.968,2.695,0.778,0.204,0.122,0.041,0,0,0.04,0,0,0,0,0,0,0,0,NaN,50
4,0.00759,209.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.737,2.252,3.359,4.479,4.167,3.516,3.047,2.567,2.318,1.987,1.791,1.223,1.105,1.218,1.213,1.312,1.301,1.475,2.427,1.913,2.002,1.981,2.321,2.292,2.859,3.313,4.318,4.452,6.683,8.455,10.479,12.116,14.806,20.219,22.302,21.594,15.591,7.067,2,0.475,0.191,0.211,0.013,0.03,0,0,0,0,0,0,0,0,0,0,NaN,50
5,0.007919,181.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,1.946,2.6,2.648,2.766,1.396,1.083,0.952,0.917,1.055,0.844,0.746,0.666,0.877,0.818,0.719,0.948,0.987,1.145,1.325,1.573,1.907,1.305,2.07,2.019,2.749,3.92,4.92,5.999,6.412,8.354,10.835,15.136,16.57,18.363,20.694,17.762,9.928,4.067,1.092,0.356,0.195,0.047,0.042,0.042,0,0,0,0,0,0,0,0,0,NaN,50
6,0.007586,206.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.585,1.852,2.914,3.35,2.68,2.594,2.598,2.221,2.001,1.968,1.472,1.467,1.827,1.602,1.981,1.948,2.068,2.339,2.797,2.861,2.327,2.738,3.415,3.302,3.592,4.6,4.994,5.744,7.777,7.905,9.099,10.589,13.849,16.376,18.439,19.27,15.451,8.48,3.272,1.572,0.627,0.224,0.043,0.041,0,0,0,0,0,0,0,0,0,0,NaN,50
7,0.006325,176.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,2.361,3.295,3.817,3.053,2.792,2.402,2.112,1.804,2.091,1.658,1.938,1.711,1.797,1.634,1.449,2.222,1.922,2.336,2.077,2.435,2.465,2.471,2.529,4.007,3.711,3.949,4.355,5.68,6.428,7.25,8.502,11.158,12.44,15.177,14.098,12.715,7.862,3.595,1.411,0.388,0.144,0.109,0.124,0.05,0.01,0,0,0,0,0,0,0,0,NaN,50
8,0.005732,190.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.785,3.819,5.613,6.24,6.067,5.381,4.759,4.013,3.674,4.553,3.658,3.468,3.263,2.807,3.267,2.184,2.562,1.951,2.472,2.485,2.693,2.826,2.446,2.666,3.045,3.18,3.429,4.185,4.583,5.002,6.975,7.484,8.727,9.514,11.523,14.669,10.765,7.318,3.337,1.683,0.544,0.199,0.045,0,0,0.04,0,0,0,0,0,0,0.039,0,NaN,50
9,0.007859,175.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,1.241,1.763,2.586,2.651,2.097,1.699,1.033,0.944,0.932,1.303,0.891,0.865,0.671,0.973,0.875,1.125,0.861,1.065,1.544,1.503,1.531,1.764,2.319,2.045,2.517,2.876,3.454,5.291,5.974,8.28,9.651,13.457,16.563,19.039,20.335,17.626,9.367,3.992,1.593,0.403,0.201,0.092,0.021,0.122,0.021,0,0,0,0,0,0,0,0,NaN,50
