Tiempo (min),LWC (g/m3),Cn(P/cm3),0.104,0.111,0.12,0.129,0.138,0.149,0.16,0.172,0.184,0.198,0.213,0.229,0.246,0.264,0.284,0.305,0.328,0.352,0.379,0.407,0.437,0.47,0.505,0.543,0.583,0.627,0.674,0.724,0.778,0.836,0.898,0.965,1.037,1.115,1.198,1.287,1.383,1.486,1.597,1.717,1.845,1.982,2.13,2.289,2.46,2.643,2.841,3.053,3.28,3.525,3.788,4.071,4.374,4.701,5.051,5.428,5.833,6.268,6.736,7.239,7.779,8.359,8.983,9.653,10.373,11.147,11.979,12.872,13.833,14.865,15.974,17.165,18.446,Visibilidad (m),Visibilidad corregida (m)
1,0.047172,357.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,6.262,17.596,22.673,24.579,28.262,29.812,28.08,24.673,20.48,19.633,15.681,14.399,11.29,9.585,8.5,6.204,4.014,4.132,2.84,2.424,2.121,1.325,1.267,1.04,1.016,1.013,0.853,0.597,0.702,0.74,0.745,0.618,0.659,0.792,0.902,0.825,0.82,1.613,1.394,1.746,1.946,1.546,1.941,2.149,1.909,2.197,2.026,2.304,3.094,2.975,3.311,3.87,4.246,1.658,NaN,NaN
2,0.030267,379.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,6.693,15.72,19.941,23.772,25.128,28.97,26.315,24.15,20.782,20.473,19.262,16.815,14.436,12.751,12.922,9.575,9.273,6.575,5.789,4.271,3.598,2.649,2.882,2.077,1.89,1.855,1.28,1.246,1.02,1.497,0.767,0.893,0.754,0.919,1.171,0.91,0.797,1.198,1.499,1.574,1.345,1.682,1.652,1.199,1.84,2.21,1.601,1.48,1.887,2.09,2.668,2.453,2.029,0.808,NaN,NaN
3,0.028368,370.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,5.451,16.969,20.147,24.33,27.73,26.777,26.132,22.722,20.928,20.37,18.843,16.214,14.6,12.76,12.561,10.636,8.721,5.778,4.579,4.209,3.029,2.21,1.972,2.251,1.878,1.655,1.479,1.372,1.409,0.929,0.682,0.831,0.507,0.406,0.734,0.564,0.896,0.853,1.298,1.388,1.022,1.2,1.146,1.59,1.53,2.028,1.989,2.395,1.933,1.906,1.658,2.479,2.017,0.666,NaN,NaN
4,0.028773,413.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,5.003,15.58,21.122,24.045,27.202,29.413,26.575,25.421,23.812,21.913,21.966,19.785,19.225,16.493,14.323,11.034,11.202,6.73,6.705,5.689,4.627,3.45,3.512,2.879,2.618,1.722,1.953,1.888,1.299,1.197,0.719,0.711,0.961,0.55,0.592,0.749,0.894,1.137,1.195,1.669,2.044,1.77,2.177,1.63,1.79,1.95,1.836,1.908,1.754,1.943,2.261,1.74,1.943,0.954,NaN,NaN
5,0.078797,450.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,5.877,18.503,21.555,26.728,29.841,30.591,29.936,25.725,24.212,23.34,18.43,18.08,15.83,13.835,12.868,11.695,9.058,8.186,6.569,5.499,3.932,3.152,2.73,2.51,2.267,2.176,2.225,1.774,1.187,1.276,1.197,0.772,0.612,0.591,0.723,0.974,1.275,1.44,1.527,1.93,2.219,2.35,2.095,3.795,3.202,4.406,5.036,5.329,5.016,5.476,5.949,5.985,6.529,2.567,NaN,NaN
6,0.023948,365.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,6.345,15.478,20.299,23.162,25.215,26.046,23.946,22.944,19.42,20.586,18.882,15.66,14.513,14.717,12.851,10.576,7.595,7.005,6.389,4.998,4.074,3.199,2.787,2.893,2.315,2.098,1.233,1.416,0.879,1.127,0.995,0.84,0.881,0.651,0.414,0.782,0.745,0.963,0.823,0.753,1.252,0.892,1.065,1.018,1.436,1.081,1.365,1.457,1.61,2.053,1.518,1.793,1.874,0.697,NaN,NaN
7,0.018119,277.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,8.106,18.91,20.807,21.87,22.271,20.841,19.409,17.817,13.395,12.121,11.235,9.227,7.961,7.595,7.191,6.265,4.988,4.857,3.035,3.146,2.8,2.378,2.489,1.774,1.775,1.285,1.413,1.019,1.376,1.023,1.002,0.988,0.607,0.564,0.517,0.601,0.371,0.326,0.653,0.451,0.55,0.57,0.643,0.66,0.585,0.932,0.714,0.83,0.94,1.115,1.402,1.377,1.563,0.814,NaN,NaN
8,0.006351,310.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,6.941,17.113,19.819,19.139,22.505,23.298,21.444,18.744,17.431,17.525,15.205,12.235,12.931,11.55,10.39,9.544,7.523,5.767,5.487,4.715,3.748,3.172,2.554,2.756,2.363,2.1,1.861,1.712,1.443,1.059,0.891,0.646,0.375,0.223,0.411,0.114,0.185,0.132,0.225,0.251,0.274,0.236,0.301,0.237,0.389,0.337,0.229,0.436,0.293,0.34,0.53,0.429,0.541,0.189,NaN,NaN
9,0.008132,275.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,6.133,15.117,17.443,17.235,18.404,19.909,17.852,15.83,14.444,15.669,13.787,12.606,11.922,10.308,9.655,9.886,6.768,5.291,4.668,3.763,3.534,3.451,2.587,2.046,1.987,2.035,1.424,1.042,1.23,0.764,0.696,0.482,0.518,0.172,0.141,0.126,0.25,0.289,0.279,0.172,0.234,0.317,0.388,0.205,0.215,0.179,0.339,0.394,0.42,0.534,0.798,0.61,0.72,0.247,NaN,NaN
10,0.018137,273.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,6.66,15.277,17.702,19.717,19.838,18.999,18.941,17.161,12.669,14.942,13.545,10.573,9.049,8.846,9.276,7.808,6.664,5.314,3.931,3.621,2.48,2.143,1.865,2.191,1.931,1.289,0.946,1.326,0.779,0.75,0.678,0.453,0.352,0.328,0.227,0.273,0.426,0.398,0.694,0.505,0.372,0.523,0.534,0.777,0.973,0.819,0.792,1.162,0.935,1.32,1.05,1.301,1.643,0.79,NaN,NaN
11,0.028739,269.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,7.378,15.965,18.8,19.679,19.653,20.201,17.446,15.821,12.939,11.995,9.658,9.316,8.414,8.252,6.517,5.348,4.537,3.955,3.822,3.088,2.854,2.359,1.97,1.725,1.834,1.385,1.16,0.949,1.344,1.319,0.851,0.819,0.97,0.706,0.772,0.575,0.859,0.948,0.868,1.028,1.056,0.876,1.105,1.175,1.531,1.605,1.475,1.569,1.692,1.639,2.335,2.353,1.925,1.299,NaN,NaN
12,0.038461,261.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,7.042,16.15,19.024,18.689,18.85,20.946,18.564,16.283,12.905,11.493,10.728,7.93,6.705,6.231,5.375,4.484,3.506,2.861,2.479,2.025,1.998,1.423,1.261,1.111,1.679,1.274,1.121,0.985,1.124,0.539,0.653,0.781,0.671,0.695,0.84,0.805,1.015,1.271,1.143,1.445,1.029,1.217,0.95,1.372,1.098,1.797,2.085,2.044,2.004,2.848,2.685,3.508,3.307,1.293,NaN,NaN
13,0.03887,261.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,6.748,16.155,18.534,18.694,20.94,20.134,18.46,15.936,14.221,12.254,11.035,9.574,7.054,5.95,4.49,3.906,2.358,2.841,2.151,1.607,1.209,0.913,1.001,0.85,1.053,0.728,0.683,0.45,0.567,0.719,0.461,0.821,1.151,0.737,0.507,0.889,0.704,1.239,1.262,1.379,1.547,1.524,1.687,1.996,2.018,2.163,2.331,2.111,2.88,2.426,2.912,2.439,3.162,1.541,NaN,NaN
14,0.006482,230.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,5.924,13.572,14.452,13.997,16.995,16.671,15.989,14.881,12.454,12.761,11.386,10.45,8.626,7.292,7.07,6.011,4.953,4.928,3.316,3.266,2.725,1.789,1.302,1.299,0.901,0.895,0.674,0.751,0.916,0.574,0.998,0.562,0.926,0.72,0.641,0.597,0.912,0.717,0.861,0.808,0.594,0.254,0.452,0.464,0.474,0.388,0.267,0.182,0.243,0.32,0.389,0.489,0.434,0.271,NaN,NaN
15,0.050321,349.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,7.174,17.301,23.115,22.6,25.325,23.613,26.477,22.362,17.388,16.802,13.49,13.123,11.002,9.973,7.147,6.837,4.664,3.782,3.358,2.368,2.181,1.982,2.251,1.337,1.439,1.208,1.248,1.03,1.554,1.045,1.465,1.113,1.206,0.967,1.052,1.628,1.831,2.124,1.951,2.173,1.871,2.049,2.505,2.365,3.232,2.751,2.693,3.471,3.303,4.126,3.896,3.25,3.705,1.594,NaN,NaN
16,0.010206,269.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,6.994,13.848,15.5,16.997,18.296,19.614,16.684,16.949,14.738,13.978,12.887,11.293,11.373,10.889,10.003,8.861,5.513,4.694,4.698,3.372,2.136,2.101,1.495,2.078,2.168,1.244,1.584,1.114,1.235,1.051,0.9,0.848,0.566,0.681,0.658,0.486,0.351,0.802,0.784,0.608,0.813,0.79,0.592,0.614,0.687,0.561,0.598,0.492,0.657,0.482,0.529,0.866,0.788,0.3,NaN,NaN
17,0.016613,281.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,6.297,14.008,16.665,17.874,20.113,20.467,19.228,16.304,14.542,13.366,13.451,11.567,11.03,10.719,9.789,7.666,6.224,5.119,4.265,3.948,2.891,2.293,2.298,1.653,1.756,1.467,1.206,1.274,1.239,0.722,0.635,0.528,0.574,0.866,0.901,0.556,0.804,0.738,1.053,0.811,0.891,0.97,1.128,1.152,1.157,1.068,1.214,0.835,1.054,1.103,1.321,1.037,1.127,0.505,NaN,NaN
18,0.034764,358.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,7.87,16.219,21.423,24.304,24.072,25.788,23.773,20.049,18.011,15.986,13.962,13.036,11.558,10.432,10.636,7.326,6.381,5.451,4.841,3.498,3.001,1.808,2.381,1.753,2.256,2.257,2.146,2.056,1.792,2.021,1.844,1.595,1.863,1.797,1.707,2.273,2.67,2.702,2.582,2.348,2.883,2.7,2.022,2.24,2.044,2.56,2.06,2.237,2.122,2.271,2.3,2.325,2.208,1.173,NaN,NaN
19,0.024804,312.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,6.849,15.563,19.525,20.899,21.03,21.633,19.59,17.705,15.995,14.718,13.421,11.335,10.709,7.631,8.879,7.949,6.48,7.101,4.246,3.792,3.825,2.478,2.169,2.627,2.232,2.019,1.933,1.512,1.394,1.573,1.516,1.314,1.166,1.135,1.168,1.503,0.93,1.082,1.798,1.538,1.357,1.831,1.523,1.759,1.971,1.234,1.368,1.697,1.476,1.792,1.787,2.137,1.15,0.832,NaN,NaN
20,0.032502,355.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,5.916,14.593,20.455,19.242,22.629,24.638,21.738,20.324,17.907,18.871,15.934,13.069,12.216,12.991,11.344,9.942,7.023,6.098,5.567,3.998,2.967,3.125,2.991,2.1,2.173,1.735,1.509,1.684,1.914,1.968,1.911,1.518,1.81,1.872,2.02,1.817,2.062,1.744,2.303,2.576,2.437,2.069,2.079,2.008,2.434,2.337,1.626,2.267,2.45,2.608,2.358,1.743,2.244,0.766,NaN,NaN
21,0.039681,357.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,6.236,15.61,19.215,21.294,23.434,23.052,20.704,18.929,17.848,16.132,14.957,13.205,13.112,9.848,10.145,8.68,7.094,7.157,5.018,5.045,3.548,2.807,3.3,3.086,3.113,3.038,2.683,3.309,2.632,2.372,1.996,1.806,1.535,2.18,1.859,1.279,1.74,1.938,2.039,1.78,1.876,2.115,2.305,2.041,1.719,2.159,2.49,2.441,2.669,2.788,3.11,2.886,2.786,1.168,NaN,NaN
22,0.024297,289.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,5.858,13.913,15.893,17.13,19.909,18.629,20.411,18.051,15.238,14.589,12.711,11.369,11.181,9.171,9.234,8.13,5.986,3.967,3.759,3,2.37,2.038,2.162,1.784,1.707,2.058,1.685,1.626,1.669,1.383,1.511,1.259,1.396,0.97,1.287,1.408,1.352,1.759,1.772,1.108,1.209,1.341,1.028,1.281,0.901,1.063,1.287,1.5,1.574,1.911,1.603,1.475,2.011,0.825,NaN,NaN
23,0.034403,298.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,5.66,13.485,15.97,17.318,19.919,18.972,19.029,16.174,15.118,15.36,13.303,11.392,10.134,8.923,8.421,6.831,5.351,4.812,4.066,3.107,2.624,2.229,1.732,1.632,1.495,1.971,1.687,1.4,1.902,1.78,1.338,1.629,1.937,1.637,1.634,1.881,1.698,2.278,2.354,1.803,1.997,1.602,2.391,1.976,2.269,1.766,1.976,2.37,2.374,1.695,2.123,2.015,2.726,1.419,NaN,NaN
24,0.017407,282.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,5.416,12.998,13.988,17.112,18.393,18.381,18.777,15.519,15.37,16.011,14.055,12.137,11.938,10.538,9.192,8.2,6.758,4.725,4.607,3.243,2.613,2.052,2.082,1.577,1.731,1.542,1.588,1.435,1.123,1.293,0.947,1.189,1.436,1.362,1.395,1.624,1.116,1.157,1.556,1.046,1.29,1.359,1.485,0.93,0.968,0.84,0.891,0.97,1.203,1.086,1.277,1.324,1.151,0.451,NaN,NaN
25,0.031447,377.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367,6.26,14.69,19.499,20.696,23.633,24.65,23.75,22.707,19.592,17.335,16.78,16.819,14.451,13.964,11.898,10.067,8.207,7.301,6.594,4.308,3.886,2.764,3.158,1.965,2.182,2.157,1.813,1.521,1.618,1.597,1.564,1.887,2.016,1.997,2.005,2.374,2.885,2.69,3.074,2.308,2.661,2.417,1.929,1.764,2.12,2.499,1.707,2.149,2.282,2.213,2.074,1.946,2.125,0.729,NaN,NaN
26,0.027737,364.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,6.38,14.476,18.242,19.282,21.176,23.312,21.529,20.126,18.135,17.095,16.038,15.674,13.19,13.427,13.212,10.65,10.035,6.892,6.942,5.179,4.31,3.593,3.853,2.978,3.467,2.739,2.743,2.144,3.021,2.412,2.966,2.234,2.214,1.601,1.278,1.613,1.797,1.855,1.852,1.874,1.68,1.483,1.7,1.752,1.5,1.576,1.42,1.699,1.531,1.593,2.364,2.22,2.032,0.571,NaN,NaN
27,0.002667,294.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,5.668,12.241,15.927,17.502,19.908,21.358,19.951,19.367,16.378,16.802,14.003,13.235,12.917,11.453,9.742,8.626,8.453,6.192,4.913,4.233,3.748,2.543,2.498,1.969,2.636,2.553,2.24,1.805,1.82,1.739,1.2,1.623,1.883,1.116,0.975,0.68,0.818,0.6,0.305,0.356,0.189,0.285,0.307,0.138,0.174,0.217,0.152,0.116,0.095,0.315,0.127,0.114,0.076,0,NaN,NaN
28,0.003981,316.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,5.14,13.943,17.178,19.08,22.142,20.719,21.629,20.167,19.253,18.79,16.66,13.942,14.225,10.88,10.457,8.939,7.29,5.792,5.397,3.912,3.456,2.53,2.823,2.649,1.918,2.295,1.833,2.42,2.524,2.682,1.98,2.342,1.466,1.394,1.418,1.206,1.105,0.641,0.809,0.449,0.529,0.328,0.455,0.068,0.205,0.07,0.037,0.002,0.32,0.399,0.261,0.09,0.188,0.12,NaN,NaN
