Tiempo (min),LWC (g/m3),Cn(P/cm3),0.104,0.111,0.12,0.129,0.138,0.149,0.16,0.172,0.184,0.198,0.213,0.229,0.246,0.264,0.284,0.305,0.328,0.352,0.379,0.407,0.437,0.47,0.505,0.543,0.583,0.627,0.674,0.724,0.778,0.836,0.898,0.965,1.037,1.115,1.198,1.287,1.383,1.486,1.597,1.717,1.845,1.982,2.13,2.289,2.46,2.643,2.841,3.053,3.28,3.525,3.788,4.071,4.374,4.701,5.051,5.428,5.833,6.268,6.736,7.239,7.779,8.359,8.983,9.653,10.373,11.147,11.979,12.872,13.833,14.865,15.974,17.165,18.446,Visibilidad (m),Visibilidad corregida (m)
1,0.001315,165.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,6.81,15.79,20.008,21.56,19.276,15.915,10.138,6.165,4.464,2.76,1.404,0.96,0.5,0.75,0.836,0.489,0.738,0.568,0.912,0.839,1.073,0.791,0.948,1.011,1.155,1.469,1.49,1.72,2.119,2.558,2.757,2.735,2.843,2.314,2.313,2.578,1.673,1.095,0.532,0.447,0.094,0.04,0.142,0.06,0.04,0,0,0,0,0,0,0,0,0,35,35
2,0.001458,155.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,6.523,15.179,20.45,21.533,19.388,14.17,9.185,4.989,3.847,3.158,1.471,1.419,0.879,0.669,0.599,0.694,0.413,0.464,0.419,0.719,0.588,0.75,0.648,0.893,0.971,1.16,1.195,1.564,1.464,1.886,1.802,2.222,2.188,2.296,2.201,1.671,1.7,1.18,1.129,0.589,0.122,0.077,0.082,0.081,0.078,0,0,0.033,0.006,0.013,0.045,0.019,0,0,34,34
3,0.000965,165.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,6.918,16.367,20.997,20.853,19.228,16.825,12.144,8.227,4.755,3.243,2.544,1.724,1.213,1.008,0.99,0.736,0.606,0.859,0.67,0.719,0.389,1.006,0.972,0.9,1.217,1.034,1.151,1.538,1.719,1.541,1.649,1.683,2.034,1.633,1.918,1.444,0.637,0.718,0.405,0.457,0.238,0.162,0.053,0.07,0.04,0,0,0,0,0,0,0,0,0,35,35
4,0.001616,176.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,6.98,17.773,21.517,23.44,21.288,16.365,11.258,7.485,5.718,3.563,2.274,1.912,0.668,0.818,0.618,0.587,0.566,0.666,0.911,0.706,0.925,0.742,0.777,0.746,1.296,1.13,1.51,1.662,2.177,2.058,2.255,2.145,2.829,1.968,2.157,1.233,1.566,1.462,0.917,0.54,0.272,0.047,0.135,0.031,0,0.042,0.08,0.041,0,0.04,0.02,0.02,0.04,0,34,35
5,0.002201,177.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,6.825,18.467,21.549,25.969,20.969,18.497,10.946,7.443,6.298,3.807,2.658,1.538,1.234,0.896,0.33,0.587,0.481,0.408,0.453,0.828,0.575,0.527,0.424,0.806,0.867,1.139,0.736,1.174,1.421,2.202,2.368,1.983,1.777,1.262,2.129,1.91,1.451,1.163,1.006,0.409,0.367,0.353,0.084,0.082,0.069,0.091,0.056,0.025,0.04,0.079,0.02,0.172,0.044,0.039,35,36
6,0.001781,170.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,7.956,18.696,21.203,24.591,21.059,15.415,10.001,5.604,3.491,2.596,2.086,1.023,0.848,0.507,0.453,0.435,0.399,0.456,0.762,0.541,0.694,0.641,0.722,0.714,0.936,1.079,1.147,1.24,2.199,1.896,2.317,2.033,2.013,2.498,2.822,2.159,2.548,1.862,1.384,0.685,0.447,0.241,0.051,0.081,0,0.042,0.04,0,0.04,0,0.039,0,0,0,35,39
7,0.003239,168.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,6.199,16.586,20.067,22.627,18.554,13.647,10.063,6.442,4.12,2.671,1.797,1.489,0.759,0.555,0.61,0.485,0.957,0.946,0.842,0.527,1.03,0.848,0.566,0.916,1.283,1.192,1.554,1.614,2.261,2.279,1.939,2.004,2.158,2.603,2.596,2.601,2.724,2.14,1.975,0.916,0.751,0.456,0.283,0.254,0.11,0.091,0.016,0.133,0.07,0.061,0.059,0.207,0.088,0,36,40
8,0.001168,164.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,6.577,16.348,23.048,22.2,21.347,16.1,11.538,7.145,5.046,3.806,2.166,1.376,1.371,0.532,0.75,0.488,0.661,0.56,0.65,0.786,0.804,0.923,0.852,0.843,0.784,0.848,1.174,1.613,1.21,1.749,1.833,1.376,1.319,1.418,1.328,1.002,0.821,0.554,0.378,0.242,0.189,0.143,0.063,0.099,0,0.04,0,0,0.039,0.013,0.026,0,0.016,0.061,39,40
9,0.001215,170.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,7.327,17.801,25.064,23.528,21.177,18.661,12.121,8.788,4.988,4.513,2.781,1.66,1.045,0.813,0.603,0.605,0.49,0.731,0.645,0.317,0.397,0.493,0.478,0.412,0.469,0.918,1.034,0.512,0.809,1.265,1.415,1.265,0.983,0.936,0.884,0.699,0.857,0.744,0.495,0.248,0.282,0.044,0.043,0.081,0.07,0.012,0.079,0,0,0,0,0.039,0.073,0.046,40,40
